id,emoji,name,description,keywords
444,🥾,Hiking Boot,A style of boot commonly worn on long walks or for hiking. Generally distinct from other footwear-related emojis by the considerable grip on the sole of the shoe.,boot commonly worn style of on long walks hiking
445,🥿,Flat Shoe,"A flat shoe, in a style generally worn by women. More practical than a high-heeled shoe.",style generally worn by women flat shoe high-heeled
446,👠,High-Heeled Shoe,"A high-heeled shoe, primarily worn by women. Generally found in a context which requires formal dress, such as social occasions, or some work places.",high-heeled shoe primarily worn by women requires formal dress
447,👡,Woman’s Sandal,"A sandal worn by a woman in summer, spring, or other weather that suits open-toed footwear. Has a heel at the back providing additional height to the wearer.",suits open-toed footwear woman in summer sandal worn weather that spring
448,🩰,Ballet Shoes,"Shoes worn by ballet dancers for pointe work. Most platforms show a pair of pink shoes resting on their pointes. Sometimes used to represent dancing in general, rather than ballet specifically. Sometimes also used to represent the color pink.",pointe work Shoes worn ballet dancers
449,👢,Woman’s Boot,"A tall boot generally featuring a slight heel, shown in brown or red on most platforms.",tall boot generally featuring slight heel shown in brown
450,👑,Crown,"A gold crown with jewels on the sides. Representative of a King, Queen, or other form of Royalty.",gold crown with jewels form of Royalty Queen sides King
451,👒,Woman’s Hat,"A hat worn by women for sun protection, or for fashion.",sun protection hat worn by women for fashion
452,🎩,Top Hat,"A top hat, worn in traditional British weddings and other formal occasions. This is also a popular playing piece in the game of Monopoly.",traditional British weddings top hat worn in formal occasions
453,🎓,Graduation Cap,"A graduation cap, worn on the head of students graduating from college or university. Known in some locations as a mortar board with tassel.",graduation cap college or university head of students graduating from worn
454,🧢,Billed Cap,Billed Cap was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,Billed Cap part of Unicode added to Emoji was approved as
455,🪖,Military Helmet,Military Helmet was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,Military Helmet part of Unicode added to Emoji was approved as
456,⛑️, Rescue Worker’s Helmet,"A construction helmet, which is worn by the construction worker emoji in some emoji sets.",construction worker emoji helmet sets
457,💄,Lipstick,"Lipstick shown with the lid removed. Displays in a shade of red on most platforms, except Android which has a pink color.",Lipstick shown lid removed pink color
458,💍,Ring,"A ring with displaying a gem stone of some kind on the top, most likely a diamond. This piece of jewellery is often associated with a proposal and subsequent engagement to be married.",ring with displaying a gem stone top diamond piece of jewellery proposal and subsequent
459,💼,Briefcase,A place to store notes and other office materials. Primarily used by older people.,office materials place to store notes
460,🩸,Drop of Blood,"A red drop of blood. May be used to talk about bleeding, injury, blood donation, or menstruation.",red drop blood donation injury of
461,😮‍💨,💨 Face Exhaling,"A face showing a visible breath of air being dispelled. Used to represent relief, exhaustion, or as a sigh of disappointment or displeasure.",air being dispelled face showing a visible breath of represent relief
462,😵‍💫,💫 Face with Spiral Eyes,"A face showing a spiral eyes, commonly used to indicate dizziness, but may also represent hypnosis or other forms of disorientation.",spiral eyes forms of disorientation face showing a represent hypnosis commonly
463,😶‍🌫️,🌫️ Face in Clouds,"A face that appears surrounded by clouds or a haze of smoke. Ambiguous in appearance, this may represent a foggy state of mind, confusion, or even a sense of calm bliss.",haze of smoke surrounded by clouds Ambiguous in appearance state mind calm bliss represent a foggy
464,🙈,See-No-Evil Monkey,"The see no evil monkey, called Mizaru (Japanese for “see not”), one of the Three Wise Monkeys. Depicted as the brown 🐵 Monkey Face with hands covering its eyes.",called Mizaru Wise Monkeys evil monkey Japanese Monkey Face
465,🙉,Hear-No-Evil Monkey,"The hear no evil monkey, called Kikazaru (Japanese for “hear not”), one of the Three Wise Monkeys. Depicted as the brown 🐵 Monkey Face with hands covering its ears.",called Kikazaru Wise Monkeys evil monkey Japanese Monkey Face
466,🙊,Speak-No-Evil Monkey,"The speak no evil monkey, called Iwazaru (Japanese for “say not”), one of the Three Wise Monkeys. Depicted as the brown 🐵 Monkey Face with hands covering its mouth.",called Iwazaru Wise Monkeys speak no evil monkey Japanese Monkey Face
467,💥,Collision,"A cartoon-styled representation of a collision. Depicted as a star-like, orange-and-yellow fiery burst, generally with one point extending to the bottom right, as if from the source of the collision.",cartoon-styled representation collision fiery burst point extending Depicted
468,💫,Dizzy,A cartoon-styled representation of dizziness. Generally depicted as one or more yellow stars swirling in a yellow or blue circle.,representation of dizziness cartoon-styled Generally depicted blue circle
469,💦,Sweat Droplets,"Three, light blue droplets, as sweat beads, splashing down to the right. Resembles plewds, stylized sweat droplets used in comics and animation to show characters working hard or feeling stressed.",light blue droplets sweat beads stylized
470,💨,Dashing Away,"A cartoon-styled gust of air. Depicted as a small, gray cloud with motion lines, rushing to the left.",gust of air cartoon-styled gray cloud motion lines
471,🐵,Monkey Face,"A friendly, cartoon-styled face of a monkey, looking straight ahead. Depicted as a brown-haired monkey with a tan or pinkish face, round ears, nostrils, and open-mouthed smile.",straight ahead cartoon-styled face round ears friendly brown-haired monkey
472,🐒,Monkey,"A monkey, a small primate with long limbs and tail for climbing trees. Generally depicted as a cartoon-styled, brown monkey with a cheeky facial expression, shown in full profile facing left, sitting on its hind legs with a long, curled tail and round ears.",climbing trees small primate long limbs cheeky facial expression profile facing left full brown monkey
473,🦍,Gorilla,"A gorilla, the powerful, black-haired great ape. Variously depicted in full profile on all fours facing left or as a friendly, cartoon-styled gorilla face looking straight ahead.",black-haired great ape cartoon-styled gorilla face powerful
474,🦧,Orangutan,"An orangutan, the orange-haired ape with long arms. Depicted facing forward, with a long broad face and sitting with its legs bent. Often shown scratching its head. Skin color varies across platforms, ranging from light to dark.",orange-haired ape long arms Depicted facing forward broad face orangutan with
475,🐶,Dog Face,"A friendly, cartoon-styled face of a dog, looking straight ahead. Depicted as the face of a dog of various breeds, generally light-brown and white, with pointed or floppy ears and its tongue hanging out.",straight ahead cartoon-styled face friendly dog
476,🐕,Dog,"A dog, a faithful, beloved pet canine. Depicted as a light-brown dog, of various breeds, in full profile on all fours facing left, with a long, curled tail held upright and pointed or floppy ears.",beloved pet canine curled tail held light-brown dog upright
477,🦮,Guide Dog,"A guide (or Seeing Eye) dog, trained to help lead a person who is blind or visually impaired. Generally depicted as a yellowish-brown Labrador Retriever on all fours facing left, equipped with a harness and handle. Many platforms additionally include a collar.",visually impaired yellowish-brown Labrador Retriever lead a person blind or Eye
