id,emoji,name,description,keywords
123,🤞,Crossed Fingers,"A fingers crossed emoji which displays the index (first) finger crossed over the middle (second) finger. Commonly used as a gesture indicating luck, or to show desire of a favorable outcome.",fingers crossed emoji displays the index which finger
124,🤟,Love-You Gesture,"The gesture for “I love you” in American Sign Language, shown as a raised pinky (little) finger, index finger, and an extended thumb.",American Sign Language index finger raised pinky extended thumb
125,🤘,Sign of the Horns,"A ""rock on"" hand gesture raising the pinky and index fingers on one hand, which a variety of other meanings.",hand gesture raising the pinky and index fingers rock
126,🤙,Call Me Hand,"A hand with thumb and little (pinky) finger extended, making a traditional phone-like shape. May be used in conjunction with a face to suggest “call me” (please).",traditional phone-like shape finger extended making a hand with thumb pinky
127,👈,Backhand Index Pointing Left,Index finger pointing to the left.,Index finger pointing left
128,👉,Backhand Index Pointing Right,Index finger pointing to the right.,Index finger pointing
129,👆,Backhand Index Pointing Up,"Index finger pointing upward, showing the back of the hand while doing so.",Index finger pointing upward showing the back
130,🖕,Middle Finger,"A middle finger emoji, used in some western cultures as a rude or insulting gesture. The back of the hand is shown with the middle finger raised.",middle finger emoji insulting gesture raised western cultures rude or
131,👇,Backhand Index Pointing Down,Index finger pointing downward.,Index finger pointing downward
132,☝️, Index Pointing Up,"A single finger pointing upward, which could be used to represent the number one, or to ask a question.",finger pointing upward single represent the number
133,👍,Thumbs Up,A thumbs-up gesture indicating approval.,gesture indicating approval thumbs-up
134,👎,Thumbs Down,A thumbs-down gesture indicating disapproval.,gesture indicating disapproval thumbs-down
135,✊,Raised Fist,"A fist raised in the air that may be used as a celebratory gesture: the fist pump. Can also be used to represent zero items, due to a lack of any fingers being held up.",celebratory gesture fist pump raised represent zero items
136,👊,Oncoming Fist,"A fist displayed in a position to punch someone, or to fist-bump another person.",fist-bump another person fist displayed position to punch
137,🤛,Left-Facing Fist,"A fist pointing left, which may be used in conjunction with the right-facing fist to complete a fist-bump gesture.",fist pointing left fist-bump gesture complete a right-facing to
138,🤜,Right-Facing Fist,"A fist pointing right, which may be used in conjunction with the left-facing fist to complete a fist-bump gesture.",fist-bump gesture complete a fist pointing left-facing to
139,👏,Clapping Hands,"Two hands clapping emoji, which when used multiple times can be used as a round of applause.",hands clapping emoji round of applause multiple times
140,🙌,Raising Hands,"Two hands raised in the air, celebrating success or another joyous event.",celebrating success joyous event hands raised air
141,👐,Open Hands,"Two open hands, representing openness. Sometimes used as a hug, or as a display of jazz hands.",representing openness open hands jazz
142,🤲,Palms Up Together,"Two hands held out together with open palms facing up, in a slightly cupped manner.",slightly cupped manner open palms facing hands held
143,🤝,Handshake,"Two hands performing a handshake gesture, indicating a cordial greeting between friends or associates.",handshake gesture indicating a cordial friends or associates hands performing greeting between
144,🙏,Folded Hands,"Two hands placed firmly together, meaning please or thank you in Japanese culture. A common alternative use for this emoji is for prayer, using the same gesture as praying hands. Rarely: a high-five.",Japanese culture meaning hands firmly placed
145,✍️, Writing Hand,A right hand holding a pen or pencil and writing. Shown with a blue pen on all platforms except Apple which has a black pen.,pencil and writing hand holding platforms except Apple pen blue black
146,💅,Nail Polish,"Colored nail polish being applied to finger nails, often used to display an air of nonchalance or indifference.",Colored nail polish nonchalance or indifference being applied to finger display an air of
147,🤳,Selfie,A mobile phone held up to take a selfie (photo of the person holding the phone or camera). Generally represented as a disembodied arm holding a mobile phone.,mobile phone held person holding disembodied arm
148,💪,Flexed Biceps,"An arm flexing to show its biceps muscle. Represents strength, or working out.",biceps muscle arm flexing to show its Represents strength
149,🦾,Mechanical Arm,A mechanical or prosthetic arm.,prosthetic arm mechanical or
150,🦿,Mechanical Leg,A mechanical or prosthetic leg.,prosthetic leg mechanical or
151,🦵,Leg,"A human leg, shown detached from a human body. Displayed from the thigh and may include the foot.",human leg body shown detached
152,🦶,Foot,A human foot shown with five toes and may include part or all of the ankle. Shown on Apple platforms as the sole of a foot.,include part human foot shown ankle Apple platforms
153,👂,Ear,"A single human ear. May be used in the context of listening, or hearing something.",single human ear context of listening
154,🦻,Ear with Hearing Aid,"An ear shown with a hearing aid, worn by a person with hearing loss. The style shown in Behind The Ear (BTE), but this can represent any form of hearing aid.",hearing aid loss ear shown BTE
155,👃,Nose,"A human nose. May be used to indicate smelling, or something that smells.",human nose smelling smells
156,🧠,Brain,"A human brain, shown in pink on most platforms. Used to indicate thinking or the human mind.",shown in pink human brain platforms mind
157,🫀,Anatomical Heart,"A red anatomical heart, shown with blue or purple veins on some platforms.",red anatomical heart shown with blue or purple veins
158,🫁,Lungs,"Pink anatomical lungs and trachea, shown with bronchial tubes on some platforms. Used in medical contexts to talk about lung health. Sometimes used in reference to taking deep breaths, hyperventilating, or breathing in general. Also used in the context of smoking or vaping.",Pink anatomical lungs shown with bronchial tubes and trachea lung health
159,🦷,Tooth,Tooth was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,part of Unicode added to Emoji Tooth was approved as
160,🦴,Bone,"A bone which may be used for a dog to chew on, or as a part of the human body. The type of bone is not specified.",human body dog to chew bone part
161,👀,Eyes,"A pair of eyes, glancing slightly to the left on most platforms. The Google version of this emoji previously showed only a single eye, despite the name of this character being eyes (plural).",glancing slightly eyes single eye Google version platforms pair of
162,👁️, Eye,"A single human eye, looking forward. This eye is in a different shape and style to the pair of eyes, which are more rounded, and looking to one side.",single human eye forward
163,👅,Tongue,"A tongue, sticking out. May be used as a childish sign of defiance. Alternatively: licking, in various contexts.",tongue sticking sign of defiance Alternatively licking childish
164,👄,Mouth,"A human mouth which is generally displayed as a pair of lips and a top row of teeth, instead of the inside of the mouth.",row of teeth generally displayed pair lips top human mouth
165,👶,Baby,"The face of a young infant (baby). Shows the face of a baby with a small amount of hair on most platforms, while some variations show a pacifier (dummy) in its mouth. Android previously displayed this emoji as a swaddled baby.",young infant face baby Shows the small amount
166,🧒,Child,A child with no gender specified. This may be used as a gender-inclusive alternative to the boy or girl emoji.,girl emoji child gender gender-inclusive alternative boy or
167,👦,Boy,"The face of a boy, smiling. Previously differentiated from the man emoji on Android by wearing a cap, and on iOS by the lack of any facial hair.",smiling emoji on Android by wearing boy Previously differentiated a cap facial hair
168,👧,Girl,"The face of a girl, smiling. Differentiated from the woman emoji by the hairstyle which features pigtails which are not present on the woman.",smiling girl woman emoji face hairstyle which features pigtails
